id,appId,displayName,servicePrincipalType,accountEnabled,csa_set,csa_attr
52bf248a-6e9d-41c7-b1e4-24b6e0d18716,fa67c2e6-1aa0-4f20-a0cd-50841224b621,obp-mgmnt-lite-rhbk-aad,Application,TRUE,SSO,UniqueUserIdentifier
1e2ba752-4adb-4963-93cb-b7a61c8fca33,fef51974-2066-4787-ab30-4cfcc63d0aa4,GTIS2-Perf,Application,TRUE,SSO,UniqueUserIdentifier
fee289bd-1053-49e1-8df0-af1dfb360415,5d8f1a84-354b-48a0-87d6-ffc12c215612,Orgvue Prod,Application,TRUE,SSO,UniqueUserIdentifier
0702413b-7919-4803-a12a-54645897adb8,438885b4-ad11-478e-8584-033e959670c1,DSM Test Server Internal,Application,TRUE,SSO,UniqueUserIdentifier
63396416-c0bd-44d3-a1f2-ce9ce40b2a2c,66b7f7c9-79c3-4847-9f25-4ce92ba2c180,DSM Test Server External,Application,TRUE,SSO,UniqueUserIdentifier
2568daf3-948d-46cd-b62b-4935dc1d85c8,9ed094da-7edb-4b97-a7e8-fc732f626cdd,MDSWebQA,Application,TRUE,SSO,UniqueUserIdentifier
1a960187-c70b-4b4c-99bb-95bb929c453f,f89776db-cfee-4835-b18a-fda53650ec49,EPOQA,Application,TRUE,SSO,UniqueUserIdentifier
589cf9da-1d40-4590-887a-a21e44336483,42fc56f7-93da-45d5-b0ec-83734ed013cf,GINIUS Salesforce Smoke2,Application,TRUE,SSO,UniqueUserIdentifier
5056f429-66c3-46a0-8730-4af7771d4db0,c78431bb-e073-414f-a20c-b706201ae5fe,globalAPIMInvPorNonprodClient,Application,TRUE,SSO,UniqueUserIdentifier
2c8d043f-1f35-49fe-98cd-fda48873c71b,234a2f70-38f9-4d27-a115-e3b1a26eb294,GrafanaVDI,Application,TRUE,SSO,UniqueUserIdentifier
5c3abbf8-b15b-4b50-88ab-308de4a01eb5,2caff6c6-532d-45cf-8557-28645d27b018,ELF-Explorer_UAT,Application,TRUE,SSO,UniqueUserIdentifier
17c5b1e9-3018-4a76-b2fc-5d50ce54e886,4b59e5d6-613c-4bea-95d5-4ff6776d6cde,INACTIVE - Matillion Production (Node 2),Application,FALSE,SSO,UniqueUserIdentifier
24cc8380-e3b7-4685-8cfe-a22de47f3144,743b9b93-aa0a-4c64-90c0-bde237bd7f5b,NGET-Simple-Data-Product-Catalogue-Service-Test-SSO,Application,TRUE,SSO,UniqueUserIdentifier
667d2646-4a3a-4a46-85a7-d10b1157cdea,c18f5b6e-fd3d-4f9b-89cb-515205a7b06e,NGET-Simple-Data-Product-Catalogue-Test-SSO,Application,TRUE,SSO,UniqueUserIdentifier
049cc557-0aba-44ad-a3b2-0316957a55e3,9aaf47f6-f4a1-4318-9ea4-d151682ea44c,DeviceTrackerUAT,Application,TRUE,SSO,UniqueUserIdentifier
5895cb35-3a4e-4dbc-8331-3b0002b43bfb,04537e4f-50bc-425d-88ba-61c5bbd8d770,EPOWebProd,Application,TRUE,SSO,UniqueUserIdentifier
4ffd3efe-a6ed-4205-b325-6366b9f94e62,765ba626-38ac-4a76-bf75-9d1bd4a5fde0,MDSWebProd,Application,TRUE,SSO,UniqueUserIdentifier
7b8b62b2-6119-403f-91e1-00fc6e5a97ad,24e21841-bdc2-496a-8389-903606f6a8c2,NGET-Simple-Data-Product-Catalogue-SSO,Application,TRUE,SSO,UniqueUserIdentifier
7463c850-d396-4914-b266-46d0b4e0334d,cfacdcd0-92d0-422a-9621-d894b3cd2de9,INACTIVE-NGET-Digital-Data-Portfolio-Dev-SSO,Application,FALSE,SSO,UniqueUserIdentifier
1c443e87-3e49-481a-a9c3-d40209113e9a,a4ad3ab7-00a3-4de4-a024-8ea2f74157cd,OT8_Fiori_QAS2,Application,TRUE,SSO,UniqueUserIdentifier
324fa686-b297-42f1-9daa-57f513f9e39b,a89408a6-20f4-4f18-b234-72adb87f01d6,sanplogic-ipaas-dev-sso,Application,TRUE,SSO,UniqueUserIdentifier
73c88f9a-44dd-43c3-bee7-c8a10206093d,8f7772f4-a1c9-4fc5-a127-1df3abfd8d1c,SharePoint IRM Graph UAT,Application,TRUE,SSO,UniqueUserIdentifier
60317cc3-779c-4c32-9261-6524ddcd0163,c1ac7ea0-4e7b-4568-94a2-50711d1506f1,OG8_GRC_QAS2,Application,TRUE,SSO,UniqueUserIdentifier
08aa2747-3724-490f-9a3d-88c497522970,bc128d25-9b12-4140-91ba-350696f7eacc,Anaconda SSO,Application,TRUE,SSO,UniqueUserIdentifier
6fc92a52-2ae3-42f1-b822-a992d9231b61,e06de820-adcb-40a7-92a8-3dad907852db,UK-5784C-nonprd-03-automation-openapi,Application,TRUE,SSO,UniqueUserIdentifier
51e0a5ca-e91c-441d-98df-fe2cbace4d4e,4c41ed7b-b113-4791-bbd5-d41aa6d241a2,Apptio (New Instance),Application,TRUE,SSO,UniqueUserIdentifier
